Timestamp,Asset_Name,Defect_Classification,Status
2026-07-27 02:52:25,image_5400_png.rf.8c27a9d4eb0722c3d9369cab2091d24f.jpg,Donut Edge_Loc,verified
2026-07-27 02:52:35,image_6900_png.rf.f4c021415872511623ecaf8cc93c880f.jpg,Donut Edge_Loc,verified
2026-07-27 02:52:45,image_1500_png.rf.14dedba9b9df4dd1b7e5cf356f2d6ddf.jpg,Edge_Loc,verified
2026-07-27 02:52:55,image_4500_png.rf.31582363d4e217a5eb9e396802a01483.jpg,Donut Edge_Loc,verified
2026-07-27 02:53:05,image_10500_png.rf.610f93f68d46dda48deaf1e373a10d6f.jpg,Center Edge_Loc,verified
2026-07-27 02:53:15,image_12900_png.rf.aa5db9c28c326d13cd30924204af8d07.jpg,Center Edge,verified
2026-07-27 02:53:25,image_13200_png.rf.3bcc830931842e0ba735c48325868d0d.jpg,Donut Edge_Loc,verified
2026-07-27 02:53:35,image_16200_png.rf.f5fec079bfdf86bf557c1fb4637e68d3.jpg,Center Edge,verified
2026-07-27 02:53:45,image_36000_png.rf.740d94ae2f9f718a10e3a768a7881662.jpg,Edge_Loc,verified
2026-07-27 02:53:55,image_25200_png.rf.6d5437b7239c0fee7ac6fadfeef8bf96.jpg,Edge_Loc,verified
2026-07-27 02:54:05,image_30000_png.rf.b1b2e18186386a8528a18ea2cce820e4.jpg,Edge_Loc,verified
2026-07-27 02:54:15,image_32400_png.rf.9b407c145361cd5c06d80ec9d1b1d8ea.jpg,Edge_Loc,verified
2026-07-27 02:54:25,image_37200_png.rf.6194ff94a8a8ed46eefb12c7f33379a3.jpg,Edge_Loc,verified
